"375477","Плачущий по детям водопад. Святые места Туркестана","2019-08-04 10:20:00","https://tengrinews.kz/news/375477"
"375676","Европейцы отправились в путешествие по сакральным местам Казахстана","2019-08-06 16:35:03","https://tengrinews.kz/news/375676"
"376061","Гид для начинающих путешественников. Куда ехать в первый раз","2019-08-09 21:00:00","https://tengrinews.kz/news/376061"
"376339","Как сохранить загар после отпуска ","2019-08-13 21:00:00","https://tengrinews.kz/news/376339"
"376479","Авиата анонсировала запуск бонусной системы","2019-08-14 21:00:00","https://tengrinews.kz/news/376479"
"377017","Стартовала международная экспедиция ""Шелковый путь - путь диалога""","2019-08-20 18:24:40","https://tengrinews.kz/news/377017"
"373051","Жемчужина Дуная - Будапешт. Что предлагает туристам столица Венгрии","2019-08-06 17:20:00","https://tengrinews.kz/news/373051"
"375442","Какое место Казахстан занял в рейтинге стран для приключенческого туризма","2019-08-01 18:09:19","https://tengrinews.kz/news/375442"
"375516","Где недорого отдохнуть до конца лета","2019-08-02 21:00:00","https://tengrinews.kz/news/375516"
"375557","В Лувре возник хаос из-за переноса Мона Лизы","2019-08-02 18:41:47","https://tengrinews.kz/news/375557"
"375681","Достопримечательности мира, где можно загадать желание","2019-08-05 21:00:00","https://tengrinews.kz/news/375681"
"375708","Туристы в Гоа опаздывают на авиарейсы из-за забастовки таксистов","2019-08-05 18:32:08","https://tengrinews.kz/news/375708"
"375799","Португальцы выступили против круизных лайнеров","2019-08-06 17:08:06","https://tengrinews.kz/news/375799"
"375747","Куба: лучшие пляжи и города для отдыха","2019-08-06 21:00:00","https://tengrinews.kz/news/375747"
"375842","Названа самая путешествующая нация в мире","2019-08-07 13:26:45","https://tengrinews.kz/news/375842"
"376010","Туристам в Риме запретили сидеть на ступеньках Испанской лестницы","2019-08-08 18:02:57","https://tengrinews.kz/news/376010"
"376113","Туристов попросили не рассказывать о поездках в Барселону","2019-08-09 17:05:19","https://tengrinews.kz/news/376113"
"376225","10 тематических туров для близких по интересам людей","2019-08-13 09:00:00","https://tengrinews.kz/news/376225"
"376280","Ресторан в Чехии начал штрафовать туристов за недоеденные блюда","2019-08-12 17:10:21","https://tengrinews.kz/news/376280"
"376389","Выгодный способ остановить браконьерство назвали эксперты","2019-08-13 16:02:27","https://tengrinews.kz/news/376389"
"376606","Названы самые привлекательные для туристов бухты Хайнаня","2019-08-15 18:00:00","https://tengrinews.kz/news/376606"
"376781","Баку: по следам ""Бриллиантовой руки""","2019-08-19 09:00:00","https://tengrinews.kz/news/376781"
"376871","Туристские власти Таиланда предложили отменить визы для казахстанцев","2019-08-19 16:29:57","https://tengrinews.kz/news/376871"
"377008","Гид по Канаде: страна горнолыжных курортов и заповедников","2019-08-21 21:30:00","https://tengrinews.kz/news/377008"
"377124","Свадьба в самолете и под водой: куда ехать праздновать первый день совместной жизни","2019-08-24 10:00:00","https://tengrinews.kz/news/377124"
"377210","Путешествовать и учиться: куда поехать за знаниями и яркими впечатлениями","2019-08-23 21:00:00","https://tengrinews.kz/news/377210"
"377633","Фаршированный верблюд и ""макароны британских солдат"". Чем порадовать себя в путешествиях","2019-08-28 17:30:00","https://tengrinews.kz/news/377633"
"377508","Пять путешествий для любителей острых ощущений","2019-08-27 11:00:00","https://tengrinews.kz/news/377508"
"377537","Отдых на Канарских островах: как получить максимум от своей поездки","2019-08-27 21:00:00","https://tengrinews.kz/news/377537"
"377623","Шопинг-тур в Дубай: где и как лучше делать покупки","2019-08-29 19:00:00","https://tengrinews.kz/news/377623"
"377818","Пугающий фестиваль вегетарианцев и праздник молодого вина: куда ехать, если пропустили лето","2019-08-29 21:00:00","https://tengrinews.kz/news/377818"
"377809","Не протягивайте руку и не кланяйтесь первым. Что важно знать, посещая Таиланд","2019-08-30 11:00:00","https://tengrinews.kz/news/377809"
"377833","Восемь достопримечательностей мира, фото с которыми соберут максимум лайков","2019-08-30 21:00:00","https://tengrinews.kz/news/377833"
"375447","В Египте разрешили бесплатно фотографировать достопримечательности","2019-08-01 19:20:00","https://tengrinews.kz/news/375447"
"375698","Туры в Египет могут подорожать","2019-08-05 16:52:56","https://tengrinews.kz/news/375698"
"375803","Три обязательных для посещения страны назвала казахстанская путешественница","2019-08-07 17:34:23","https://tengrinews.kz/news/375803"
"375885","Все самое важное о новых правилах провоза багажа в самолетах в Казахстане","2019-08-09 08:20:00","https://tengrinews.kz/news/375885"
"375893","Как сэкономить на аренде авто в путешествиях","2019-08-07 21:00:00","https://tengrinews.kz/news/375893"
"376595","Пять самых эффективных способов купить дешевые авиабилеты","2019-08-15 21:00:00","https://tengrinews.kz/news/376595"
"375986","Как подготовиться к семейному путешествию","2019-08-08 21:00:00","https://tengrinews.kz/news/375986"
"376167","От Батуми до Тбилиси. Место, где невозможно скрыть свои эмоции","2019-08-13 08:05:00","https://tengrinews.kz/news/376167"
"376256","Гастрономический туризм: шесть блюд, которые стоит попробовать в Турции","2019-08-12 21:00:00","https://tengrinews.kz/news/376256"
"376682","Лоукостеры: что нужно знать при покупке дешевых авиабилетов","2019-08-19 21:00:00","https://tengrinews.kz/news/376682"
"376897","Отдых в Шарм-эль-Шейхе с детьми: что нужно знать","2019-08-19 19:00:00","https://tengrinews.kz/news/376897"
"376946","Задержали рейс: что делать и какие права есть у пассажиров","2019-08-20 21:00:00","https://tengrinews.kz/news/376946"
"377078","Бесплатные путешествия: шесть необычных способов объехать мир без денег","2019-08-22 21:00:00","https://tengrinews.kz/news/377078"
"377321","Как исправить ошибку в авиабилете","2019-08-26 21:00:00","https://tengrinews.kz/news/377321"
"377499","""Штраф за сувенир"". О чем лучше знать туристам при поездке за границу","2019-08-26 23:00:00","https://tengrinews.kz/news/377499"
"377601","Потеряли паспорт за границей: что делать?","2019-08-28 21:00:00","https://tengrinews.kz/news/377601"
"376724","Розыгрыш билетов в Европу от Авиаты и Аэрофлота","2019-08-16 21:00:00","https://tengrinews.kz/news/376724"
